gid;tipo_elem;idelem;cod_cent;nombre;Xcoord;Ycoord
3119;495;6553;74006;C/. Samaniego - Arcaute-Campezo;-3,581822856;40,44394735
276;495;3681;74007;C/. Samaniego - Arrastaria-Campezo;-3,583907743;40,44531773
1383;495;4797;25031;CONSUELOLLANOS O-E(AV.CORDOBA-A.LOPEZ);-3,695756248;40,38085452
151;495;3556;25032;CNO. PERALES E-O(PETROLEO-ANTONIO LOPEZ);-3,695319025;40,38077362
3635;495;9878;38050;BELZUNEGUI S-N;-3,739089203;40,37617377
1361;495;4775;48004;M. USERA O-E (JESUS G.PODER - MONEDEROS);-3,700411688;40,38750713
1603;495;5026;98002;(TACTICO) AV. PORTUGAL E-O;-3,729446041;40,41469713
1690;495;5116;30034;P: VIRGEN DEL PUERTO N-S(GTA. SAN VICENTE-PTE. SEGOVIA);-3,720803182;40,41531359
1168;495;4580;32050;(TACTICO) MAGNOLIAS S-N (DELFMN-AV. ASTURIAS);-3,693068929;40,46747559
308;495;3714;42403;T2CTICO - AV. CARDENAL HERRERA ORIA, 180 O-E;-3,709770747;40,48532681
3875;495;9996;73008;AV. CARDENAL HERRERA ORIA O-E (VEGAFRIA - ARROYOFRESNO);-3,74259221;40,47688542
3874;495;9995;73010;ARROYOFRESNO S-N (CANTALEJO-AV. HERRERA ORIA);-3,741840591;40,47607909
3111;495;6545;73405;T3CTICO - AV. ARROYOFRESNO, 21 N-S (AV. CARDENAL HERRERA ORIA - CANTALEJO);-3,74220648;40,47537278
542;495;3949;3004;Joaquin Costa 26 O-E  - (Pl. Republica Argentina - Velazquez);-3,683769663;40,44340188
165;495;3570;36024;(TACTICO)COVATILLAS S-N;-3,775433402;40,45220403
1454;495;4872;36025;CTRA. HUMERA S-N(A. POZUELO-V. ROSALES);-3,779270671;40,45287156
2454;495;5887;42019;GINZO DE LIMIA, 55 N-S;-3,708644679;40,48506307
679;495;4086;11015;Embajadores S-N - CNceres-Greneral Palanca;-3,698094044;40,39918238
681;495;4088;11017;Divino Vall s O-E - Embajadores-Pl Delicias;-3,695797872;40,39631979
682;495;4089;11018;Divino Vall s O-E - Jaime el Conquistador-Aldea del Fresno;-3,697113775;40,39639826
689;495;4096;11025;Embajadores S-N(T nel a 190mts) - Antracita-Bol var;-3,692216202;40,39002896
140;495;3523;13004;Alfonso XII S-N - Felipe IV-Mendez Nurez;-3,688864863;40,41573053
685;495;4092;11021;Batalla del Salado N-S - CVceres-Embajadores;-3,696441684;40,39833646
686;495;4093;11022;Bol2var E-O - Hierro-Embajadores;-3,692533633;40,39197453
687;495;4094;11023;Embajadores S-N(Superficie) - Antracita-Bolsvar;-3,69265481;40,39091317
688;495;4095;11024;Embajadores S-N(Tunel a 80mts) - Antracita-Bolrvar;-3,692687112;40,39083005
339;495;3746;17008;Benito Gutierrez O-E - Tutor-Princesa;-3,718469192;40,43191394
340;495;3747;17009;Rodriguez San Pedro E-O - Gaztambide-Princesa;-3,715962187;40,43189115
216;495;3621;17016;Serrano Jover E-O - Alberto Aguilera-Princesa;-3,714355601;40,42971331
939;495;4349;17017;Princesa S-N - Seminario de Nobles-Serrano Jover;-3,714454785;40,42817774
138;494;3521;PM20001;PM20001;-3,670769829;40,4923322
1009;495;4421;20003;Cea Berm dez, 4 O-E - Boix y Morer-Bravo Murillo;-3,706425519;40,43874214
2599;495;6032;46025;C/. Gregorio BenOtez - Asura-Arturo Soria;-3,649943997;40,44982103
2600;495;6033;46026;C/. Hernondez de Tejada  - Herntndez de Tejada-Arturo Soria;-3,650926462;40,44715903
550;495;3957;3007;Joaquin Costa N-S (Lateral) - Velazquez-Gta. Lopez Hoyos;-3,682103046;40,44173183
519;495;3926;4020;Concha Espina, 57 E-O - Rodriguez Marin-Serrano;-3,680130459;40,45171229
199;495;3604;4023;(TACTICO) Pl. CataluOa S-N -  Extensiones Grupo 7;-3,677543454;40,44879408
201;495;3606;5001;Serrano, 218 N-S - Pl. Republica del Salvador-Concha Espina;-3,680936904;40,45247569
523;495;3930;5002;(AFOROS) Serrano, 170 N-S - Nerion-Pl. Republica Argentina;-3,684469005;40,44674836
1667;495;5092;96014;VIA LUSITANA O-E(N?28-BRAGANZA);-3,721896335;40,38301834
1749;495;5176;98035;CTRA. CARA. ARA O-E(CINE-S.ALVARO);-3,772996464;40,39497174
525;495;3932;5004;(AFOROS) Serrano, 50 N-S - Ayala-Hermosilla;-3,687461132;40,42755531
526;495;3933;5005;Lopez de Hoyos, 21 E-O - Velazquez-Maria Molina;-3,684151158;40,43853656
210;495;3615;11010;Jaime el Conquistador N-S - Torres Miranda-Cte. Benitez;-3,698057954;40,39779067
683;495;4090;11019;Embajadores N-S - Jaime el Conquistador-Divino Vallis;-3,696636424;40,39688309
338;495;3745;17007;Princesa S-N - Benito Gutierrez-Melendez Valdes;-3,717553267;40,43249496
